orbital_period,transit_duration,transit_depth,planet_radius,planet_radiuJ,pl_masse,pl_massj,insolation,equilibrium_temp,pl_orbeccen,inclination,stellar_temp,stellar_radius,stellar_mass,st_met,stellar_logg,discoverymethod,disposition
41.688644,2.7888,0.1357,2.35545351,0.21013949,12.2,0.0383853,78,809,0.075,89.52554,5703,0.956122,0.963861,-0.06,4.38,Transit,CONFIRMED
41.6855,2.7888,0.1357,2.23,0.19894727,16.3,0.05128528,78,546,0,89.55,5766,0.928,0.961,-0.15,4.5,Transit,CONFIRMED
41.6855,2.7888,0.049,2.57807,0.23,22.2481,0.07,78,809,0,89.55,5766,1.08,1.67,-0.15,4.5,Transit,CONFIRMED
2.30183,1.9008,2.268,1.12,0.0999,12.2,0.0383853,78,1054,0.075,88.6971,4616.52,0.762602,0.73,-0.03,4.53679,Transit,CANDIDATE
2.302368,2.7888,0.1357,1.31258765,0.12,12.2,0.0383853,78,809,0.075,87.44384,4720,0.710995,0.88,-0.06,4.5,Transit,CANDIDATE
1.1947488,1.93,0.448,4.19,0.37380676,12.2,0.0383853,78,809,0.075,88.6971,3919,0.57,0.88,-0.01,4.4905,Transit,CANDIDATE
6.178369,2.7888,0.1357,9.91257877,0.88,12.2,0.0383853,78,809,0.075,88.79651,5015,0.789478,0.88,0.24,4.67,Transit,CANDIDATE
6.17887,2.5008,1.303,8.84,0.789,12.2,0.0383853,78,772,0.075,88.6971,4719.28,0.849432,0.756,0.213,4.45833,Transit,CANDIDATE
1.17589,1.248,0.0686,0.86,0.077,12.2,0.0383853,78,809,0.075,88.6971,5293,0.309,0.88,-0.01,4.4905,Transit,CANDIDATE
10.6966,3.24,0.0557,1.45,0.129,12.2,0.0383853,78,809,0.075,88.6971,5293,0.588,0.88,-0.01,4.4905,Transit,CANDIDATE
1.5374115,2.3808,1.4564,45,4,12.2,0.0383853,78,809,0.075,88.6971,5293,1.599,0.88,-0.01,4.4905,Transit,CANDIDATE
2.71189,3.1008,0.02,4.34,0.387,12.2,0.0383853,78,2336,0.075,88.6971,6402,3.16745,1.28,-0.01,3.54386,Transit,CANDIDATE
