orbital_period,transit_duration,transit_depth,koi_ror,planet_radius,koi_sma,inclination,equilibrium_temp,insolation,koi_srho,stellar_temp,stellar_logg,stellar_radius,stellar_mass,disposition
9.48803557,2.9575,615.8,0.022344,2.26,0.0853,89.66,793.0,93.59,3.20796,5455.0,4.467,0.927,0.919,CONFIRMED
54.4183827,4.507,874.8,0.027954,2.83,0.2734,89.57,443.0,9.11,3.02368,5455.0,4.467,0.927,0.919,CONFIRMED
19.89913995,1.7822,10829.0,0.154046,14.6,0.1419,88.96,638.0,39.3,7.29555,5853.0,4.544,0.868,0.961,CANDIDATE
1.736952453,2.40641,8079.2,0.387394,33.46,0.0267,67.09,1395.0,891.96,0.2208,5805.0,4.564,0.791,0.836,FALSE POSITIVE
2.525591777,1.6545,603.3,0.024064,2.75,0.0374,85.41,1406.0,926.16,1.98635,6031.0,4.438,1.046,1.095,CONFIRMED
11.09432054,4.5945,1517.5,0.036779,3.9,0.0992,88.11,835.0,114.81,0.67324,6046.0,4.486,0.972,1.053,CONFIRMED
4.13443512,3.1402,686.0,0.026133,2.77,0.0514,83.72,1160.0,427.65,0.37377,6046.0,4.486,0.972,1.053,CONFIRMED
2.56658897,2.429,226.5,0.014983,1.59,0.0374,82.17,1360.0,807.74,0.48909,6046.0,4.486,0.972,1.053,CONFIRMED
7.36178958,5.022,233.7,0.183387,39.21,0.082,60.92,1342.0,767.22,0.00485,6227.0,3.986,1.958,1.358,FALSE POSITIVE
16.06864674,3.5347,4914.3,0.062161,5.76,0.1158,89.92,600.0,30.75,3.6659,5031.0,4.485,0.848,0.801,CONFIRMED
2.470613377,1.74319,14231.0,0.123871,13.04,0.0354,84.41,1339.0,761.46,1.83538,5820.0,4.457,0.964,0.971,CONFIRMED
2.204735417,3.88864,6674.7,0.075522,16.1,0.0376,87.21,2048.0,4148.92,0.37936,6440.0,4.019,1.952,1.449,CONFIRMED
3.522498429,3.19843,9145.7,0.092086,14.59,0.0473,85.2,1521.0,1264.67,0.65374,6225.0,4.169,1.451,1.132,CONFIRMED
3.709214104,2.6302,131.1,0.010424,1.16,0.0465,89.73,1206.0,500.46,1.77451,5833.0,4.407,1.022,0.974,CONFIRMED
11.521446064,3.6399,17984.0,1.625358,150.51,0.0978,83.13,753.0,75.88,1.27376,5795.0,4.554,0.848,0.938,FALSE POSITIVE
19.40393776,12.2155,8918.7,0.096729,7.18,0.123,84.93,523.0,17.69,0.03785,5043.0,4.591,0.68,0.657,FALSE POSITIVE
19.221388942,4.79843,74284.0,0.476633,49.29,0.1417,88.05,698.0,55.97,1.57359,6117.0,4.496,0.947,1.025,FALSE POSITIVE
16.46983774,9.4378,10479.0,0.092509,7.94,0.1147,88.81,595.0,29.61,0.19353,5152.0,4.517,0.786,0.741,FALSE POSITIVE
9.27358173,3.2875,1288.3,0.032563,2.47,0.0759,88.93,649.0,41.85,1.93557,4856.0,4.583,0.696,0.676,CONFIRMED
6.02930329,1.5821,1912.7,0.038838,2.85,0.0585,89.5,678.0,50.04,13.09803,4537.0,4.648,0.672,0.761,CONFIRMED
2.696370652,3.6129,397.9,0.017673,1.58,0.0349,89.56,1066.0,305.34,0.51471,4989.0,4.504,0.819,0.781,FALSE POSITIVE
5.349553819,3.0278,831.0,0.025706,2.55,0.0563,89.62,919.0,168.99,1.73782,5185.0,4.44,0.91,0.831,CONFIRMED
3.94105221,2.5984,363.3,0.017105,1.7,0.046,88.88,1018.0,253.15,1.85636,5185.0,4.44,0.91,0.831,CONFIRMED
8.10904807,3.596,217.4,0.013127,1.3,0.0743,89.92,800.0,97.03,1.5302,5185.0,4.44,0.91,0.831,CONFIRMED
386.6030528,6.8057,24927.0,0.240528,41.5,1.0719,89.95,297.0,1.84,4.63335,5543.0,4.081,1.58,1.103,FALSE POSITIVE
21.67699193,3.4555,857.2,0.032666,2.95,0.1408,87.91,530.0,18.64,0.60007,4954.0,4.5,0.828,0.791,CONFIRMED
4.99677968,2.1717,934.7,0.030014,2.78,0.0559,86.9,917.0,166.95,1.71827,5339.0,4.552,0.847,0.931,CONFIRMED
4.280963604,2.875,750.8,0.025377,2.3,0.0503,87.72,1012.0,247.87,1.24482,5644.0,4.564,0.831,0.928,CONFIRMED
1.50635409,1.5155,2211.7,0.049899,4.53,0.025,79.38,1452.0,1054.12,0.84722,5714.0,4.563,0.831,0.926,FALSE POSITIVE
670.645531,53.412,18091.0,0.131705,14.14,1.5155,89.53,196.0,0.35,0.02605,5520.0,4.466,0.983,1.03,FALSE POSITIVE
61.2563628,7.633,5123.3,0.334628,39.87,0.3137,87.54,505.0,15.43,0.12411,6144.0,4.402,1.091,1.093,FALSE POSITIVE
38.3775486,5.588,724.2,0.024901,2.82,0.2163,89.44,529.0,18.53,1.40588,5481.0,4.369,1.036,0.915,CONFIRMED
41.19725502,4.6297,2213.9,0.041693,3.86,0.217,89.96,439.0,8.76,3.9471,5031.0,4.485,0.848,0.801,CONFIRMED
6.252962249,2.5819,1036.9,0.028604,2.65,0.0617,89.68,823.0,108.3,3.28707,5031.0,4.485,0.848,0.801,CONFIRMED
16.01308419,3.2554,1121.9,0.034369,3.1,0.1148,88.14,593.0,29.31,1.10942,5015.0,4.499,0.826,0.785,CONFIRMED
32.62876672,4.7971,1804.8,0.03852,3.36,0.1889,89.98,506.0,15.55,2.79093,5586.0,4.56,0.798,0.844,CONFIRMED
91.7732862,6.473,652.0,0.02432,2.12,0.3764,89.61,359.0,3.92,1.60558,5586.0,4.56,0.798,0.844,CONFIRMED
4.959319244,2.22739,9802.0,0.103379,12.21,0.0565,86.15,1103.0,349.4,1.46169,5712.0,4.359,1.082,0.976,CONFIRMED
2.701287801,3.3827,860.4,0.06584,6.54,0.0365,62.69,1222.0,527.81,0.02818,5550.0,4.468,0.91,0.889,FALSE POSITIVE
4.49876511,3.7362,460.0,0.019817,2.1,0.0542,88.0,1133.0,389.62,0.67106,6075.0,4.486,0.969,1.048,CONFIRMED
19.651209505,5.2514,11766.0,0.106953,12.42,0.1433,88.27,730.0,67.03,0.67559,6074.0,4.391,1.063,1.014,FALSE POSITIVE
5.412203927,2.9472,601.6,0.024775,2.94,0.0591,85.12,1093.0,337.68,0.51087,5779.0,4.339,1.087,0.941,CONFIRMED
41.43958662,10.5989,2793.1,0.048175,5.5,0.2288,89.31,516.0,16.72,0.28189,5468.0,4.367,1.046,0.93,CONFIRMED
8.35389523,2.2514,1041.6,0.029305,2.52,0.0768,89.95,790.0,91.9,6.73215,5592.0,4.582,0.787,0.862,CONFIRMED
4.125543472,3.1744,1487.3,0.036796,4.43,0.0529,85.95,1243.0,565.35,0.67162,6174.0,4.417,1.103,1.162,CONFIRMED
2.816504904,2.50587,16814.0,0.117059,12.21,0.0383,89.37,1219.0,521.13,2.09079,5532.0,4.452,0.955,0.941,CONFIRMED
33.93373447,14.561,8503.7,0.095386,7.34,0.1881,86.45,430.0,8.11,0.0371,5040.0,4.628,0.705,0.782,FALSE POSITIVE
3.689920099,2.6557,426.7,0.018878,1.89,0.0469,89.19,1147.0,408.99,1.70798,5880.0,4.518,0.917,1.01,CONFIRMED
4.431238488,3.15,1010.9,0.02933,3.25,0.0529,87.72,1104.0,351.23,1.01996,5714.0,4.428,1.015,1.007,CONFIRMED
11.37936986,2.6255,1023.5,0.035628,3.95,0.0993,86.8,806.0,99.68,0.63438,5714.0,4.428,1.015,1.007,CONFIRMED
26.39432897,3.573,1510.9,0.03681,3.07,0.1635,89.28,489.0,13.49,2.93923,5129.0,4.595,0.763,0.846,CONFIRMED
13.57078281,3.3539,511.7,0.023908,2.64,0.1096,87.07,785.0,89.61,0.49865,5854.0,4.406,1.012,0.951,CONFIRMED
7.12594387,3.0014,192.4,0.01512,1.79,0.0711,84.02,997.0,233.31,0.23879,5779.0,4.339,1.087,0.941,CONFIRMED
7.442652004,2.3078,24446.0,0.143936,15.03,0.0742,89.72,967.0,206.78,7.48712,6108.0,4.469,0.956,0.981,FALSE POSITIVE
16.38489988,3.0249,1127.1,0.029758,2.0,0.1084,90.0,433.0,8.35,5.4538,4126.0,4.661,0.615,0.633,CONFIRMED
7.8774163,2.0805,1306.1,0.03209,2.16,0.0665,89.92,553.0,22.18,8.09685,4126.0,4.661,0.615,0.633,CONFIRMED
36.4454001,4.007,1122.3,0.029681,1.99,0.1847,89.98,332.0,2.88,5.21237,4126.0,4.661,0.615,0.633,CONFIRMED
3.728732147,2.683,5226.5,0.068178,6.02,0.0455,86.7,1023.0,258.34,1.24118,5497.0,4.577,0.809,0.907,CONFIRMED
40.4195037,3.362,6256.0,0.088069,7.51,0.2062,89.05,467.0,11.29,1.89549,5446.0,4.507,0.781,0.714,CANDIDATE
2.243380573,1.1196,821.7,0.032248,1.99,0.028,82.88,822.0,107.6,1.50915,4149.0,4.698,0.564,0.578,CONFIRMED
